Title,Note,URL,Tags,Comment
Brooklyn Flea,,https://www.google.com/maps/place/Brooklyn+Flea/data=!4m2!3m1!1s0x89c25a33c7b39d2f:0x6f1a69911ec197c2,,
SABYASACHI,,https://www.google.com/maps/place/SABYASACHI/data=!4m2!3m1!1s0x89c2590bc4964cd5:0x3ba91e98f25f64aa,,
Park Avenue Armory,,https://www.google.com/maps/place/Park+Avenue+Armory/data=!4m2!3m1!1s0x89c258ec1d12be39:0x3a5703026dd58661,,
The Morgan Library & Museum,,https://www.google.com/maps/place/The+Morgan+Library+%26+Museum/data=!4m2!3m1!1s0x89c2590738778edf:0x3ba82e23876af8d,,
Don Antonio,,https://www.google.com/maps/place/Don+Antonio/data=!4m2!3m1!1s0x89c2590efca415d1:0xfea49de2723301f9,,
Rubirosa,,https://www.google.com/maps/place/Rubirosa/data=!4m2!3m1!1s0x89c2598f361dc3b3:0xea0bcb0a8807f54c,,
L&B Spumoni Gardens,,https://www.google.com/maps/place/L%26B+Spumoni+Gardens/data=!4m2!3m1!1s0x89c2445522653dab:0xbd45b8d4c4d774c9,,
Lucali,,https://www.google.com/maps/place/Lucali/data=!4m2!3m1!1s0x89c25a593142dedf:0xf29a33ff1f0b6ab7,,
Una Pizza Napoletana,,https://www.google.com/maps/place/Una+Pizza+Napoletana/data=!4m2!3m1!1s0x89c25983f90bb601:0xa85e9b098e3afb21,,
Randall's Island Park,,https://www.google.com/maps/place/Randall's+Island+Park/data=!4m2!3m1!1s0x89c2f5fad0d08567:0x4ada181916f32de3,,
The Living Room Bar & Lounge,,https://www.google.com/maps/place/The+Living+Room+Bar+%26+Lounge/data=!4m2!3m1!1s0x89c2590068c3ca75:0x190824711469c6eb,,
The Nines,,https://www.google.com/maps/place/The+Nines/data=!4m2!3m1!1s0x89c25998def2f209:0x20226532db7c1e62,,
Casa Tua New York,,https://www.google.com/maps/place/Casa+Tua+New+York/data=!4m2!3m1!1s0x89c259b5ab45a827:0x47d9c78520589fb,,
Bar Bianchi,,https://www.google.com/maps/place/Bar+Bianchi/data=!4m2!3m1!1s0x89c2596d9607f0bf:0x54aaf6a2b199f070,,
Tiki Disco,,https://www.google.com/maps/place/Tiki+Disco/data=!4m2!3m1!1s0x89c25c00e7023185:0x39592831cc95c0c,,
PORTA,,https://www.google.com/maps/place/PORTA/data=!4m2!3m1!1s0x89c25b76d04b1d47:0x750cac0c3fb72cc3,,
Yesterday's News Antiques and Collectibles,,https://www.google.com/maps/place/Yesterday's+News+Antiques+and+Collectibles/data=!4m2!3m1!1s0x89c25a585c27fb4d:0xba69e28e2d3344b4,,
Mercer Labs,,https://www.google.com/maps/place/Mercer+Labs/data=!4m2!3m1!1s0x89c25b852e228955:0x8a5c3f2c176a4b84,,
Isle of Us,,https://www.google.com/maps/place/Isle+of+Us/data=!4m2!3m1!1s0x89c259f19b1ce4bd:0x99c8d7da4b656ae6,,
The Clocktower,,https://www.google.com/maps/place/The+Clocktower/data=!4m2!3m1!1s0x89c259a6b4f8f17b:0x1db8e54f33fea220,,
The Polo Bar,,https://www.google.com/maps/place/The+Polo+Bar/data=!4m2!3m1!1s0x89c258fa56f86f63:0xe55c54ab602c385e,,
Holywater,,https://www.google.com/maps/place/Holywater/data=!4m2!3m1!1s0x89c25ba34fac158f:0xd5ec1ac688554da9,,
